Closed-class / function words,,Pronouns
word,,word
the,,i
a,,you
an,,he
this,,she
that,,it
these,,we
those,,they
my,,me
your,,him
his,,her
her,,us
its,,them
our,,my
their,,your
i,,his
you,,its
he,,our
she,,their
it,,this
we,,that
they,,these
me,,those
him,,who
us,,whom
them,,whose
who,,which
whom,,what
whose,,
which,,
what,,
is,,
am,,
are,,
was,,
were,,
be,,
been,,
being,,
do,,
does,,
did,,
doing,,
done,,
have,,
has,,
had,,
having,,
will,,
would,,
shall,,
should,,
can,,
could,,
may,,
might,,
must,,
of,,
to,,
in,,
on,,
at,,
for,,
with,,
from,,
by,,
as,,
into,,
onto,,
upon,,
over,,
under,,
about,,
after,,
before,,
and,,
but,,
or,,
nor,,
so,,
yet,,
if,,
then,,
than,,
because,,
while,,
although,,
though,,
when,,
where,,
whether,,
not,,
no,,
never,,
there,,
here,,
