Cosine similarity of full token vectors (formulas from Embedding Table rows),,,,,,,,,,
"Uses the whole vector, not one dimension. Edit values on Embedding Table and this grid moves.",,,,,,,,,,
,How,does,a,ll,m,work,cat,dog,run,running
How,1,-0.125494194899679,-0.805328853104779,0.722276343546966,0.768823041208119,0.107881449963501,0.43998669119374,0.376821612429326,0.0829875925022665,0.0906359648649022
does,-0.125494194899679,1,-0.0447786641686815,-0.440491655325371,-0.337120727151135,0.880805648467218,-0.654330794094478,-0.380279891881514,0.924317837825733,0.91116205597117
a,-0.805328853104779,-0.0447786641686815,1,-0.618600676865335,-0.62524363215493,-0.128134578578377,-0.0612212821177589,0.0390350560732541,-0.146394908174362,-0.150991110854038
ll,0.722276343546966,-0.440491655325371,-0.618600676865335,1,0.984474188973533,-0.278313667766141,0.74558040480263,0.679609933154966,-0.286929036616011,-0.26752033945747
m,0.768823041208119,-0.337120727151135,-0.62524363215493,0.984474188973533,1,-0.14255351029193,0.748086429489193,0.727507955756204,-0.143289432245389,-0.124888833659765
work,0.107881449963501,0.880805648467218,-0.128134578578377,-0.278313667766141,-0.14255351029193,1,-0.397508299134674,-0.165092576204756,0.971320485715299,0.981126877463342
cat,0.43998669119374,-0.654330794094478,-0.0612212821177589,0.74558040480263,0.748086429489193,-0.397508299134674,1,0.924141080221464,-0.439163466234783,-0.420160658916249
dog,0.376821612429326,-0.380279891881514,0.0390350560732541,0.679609933154966,0.727507955756204,-0.165092576204756,0.924141080221464,1,-0.173512030833898,-0.160416252255107
run,0.0829875925022665,0.924317837825733,-0.146394908174362,-0.286929036616011,-0.143289432245389,0.971320485715299,-0.439163466234783,-0.173512030833898,1,0.997647152563214
running,0.0906359648649022,0.91116205597117,-0.150991110854038,-0.26752033945747,-0.124888833659765,0.981126877463342,-0.420160658916249,-0.160416252255107,0.997647152563214,1
,,,,,,,,,,
"High similarity expected: cat–dog, run–running, ll–m. Diagonal is always 1.",,,,,,,,,,
